Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,62.959999,62.990002,62.029999,62.139999,25579900,61.765546
2016-12-29,62.860001,63.200001,62.73,62.900002,10250600,62.520968
2016-12-28,63.400002,63.400002,62.830002,62.990002,14653300,62.610426
2016-12-27,63.209999,64.07,63.209999,63.279999,11763200,62.898675
2016-12-23,63.450001,63.540001,62.799999,63.240002,12403800,62.858919
2016-12-22,63.84,64.099998,63.41,63.549999,22176600,63.167049
2016-12-21,63.43,63.700001,63.119999,63.540001,17096300,63.157111
2016-12-20,63.689999,63.799999,63.029999,63.540001,26028400,63.157111
2016-12-19,62.560001,63.77,62.419998,63.619999,34338200,63.236627
2016-12-16,62.950001,62.950001,62.119999,62.299999,42453100,61.924581
2016-12-15,62.700001,63.150002,62.299999,62.580002,27669900,62.202897
2016-12-14,63.00,63.450001,62.529999,62.68,30352700,62.302293
2016-12-13,62.50,63.419998,62.240002,62.98,35718900,62.600484
2016-12-12,61.82,62.299999,61.720001,62.169998,20198100,61.795364
2016-12-09,61.18,61.990002,61.130001,61.970001,27349400,61.596572
2016-12-08,61.299999,61.580002,60.84,61.009998,21220800,60.642354
2016-12-07,60.009998,61.380001,59.799999,61.369999,30809000,61.000185
2016-12-06,60.43,60.459999,59.799999,59.950001,19907000,59.588744
2016-12-05,59.700001,60.59,59.560001,60.220001,23552700,59.857117
2016-12-02,59.080002,59.470001,58.799999,59.25,25515700,58.892961
2016-12-01,60.110001,60.150002,58.939999,59.200001,34542100,58.843263
2016-11-30,60.860001,61.18,60.220001,60.259998,34655400,59.896873
2016-11-29,60.650002,61.41,60.52,61.09,22366700,60.721874
2016-11-28,60.34,61.02,60.209999,60.610001,20732600,60.244767
2016-11-25,60.299999,60.529999,60.130001,60.529999,8409600,60.165247
2016-11-23,61.009998,61.099998,60.25,60.400002,21848900,60.036033
2016-11-22,60.98,61.259998,60.810001,61.119999,23206700,60.751692
2016-11-21,60.50,60.970001,60.419998,60.860001,19652600,60.49326
2016-11-18,60.779999,61.139999,60.299999,60.349998,27686300,59.986331
